city,year_month,n_posts,mean_polarity,median_polarity,pct_negative,pct_positive,pct_neutral,n_posts_crime,mean_polarity_crime,median_polarity_crime,pct_negative_crime,pct_positive_crime,pct_neutral_crime
Edmonton,2012-04,28.0,0.09312682633586546,0.1005549196102299,0.10714285714285714,0.7142857142857143,0.17857142857142858,18.0,0.07397616289910736,0.0882878436922554,0.16666666666666666,0.7222222222222222,0.1111111111111111
Edmonton,2012-05,17.0,0.06665595509510203,0.0463968080059709,0.0,0.4117647058823529,0.5882352941176471,16.0,0.07039581592490954,0.0463968080059709,0.0,0.4375,0.5625
Edmonton,2012-06,51.0,0.09149106868396994,0.0783046536796537,0.0392156862745098,0.6862745098039216,0.27450980392156865,46.0,0.08112038268547431,0.0705895847573479,0.043478260869565216,0.6521739130434783,0.30434782608695654
Edmonton,2012-07,11.0,0.08682999771119604,0.1071182605273514,0.09090909090909091,0.6363636363636364,0.2727272727272727,7.0,0.06608134920634919,0.0162734487734487,0.14285714285714285,0.42857142857142855,0.42857142857142855
Edmonton,2012-08,21.0,0.1372694192878612,0.135094361574566,0.09523809523809523,0.8095238095238095,0.09523809523809523,17.0,0.13067363850369526,0.1285714285714285,0.11764705882352941,0.7647058823529411,0.11764705882352941
Edmonton,2012-09,20.0,0.10080096917299515,0.0901181704656211,0.05,0.65,0.3,14.0,0.08539456875262255,0.08401579850652244,0.0,0.6428571428571429,0.35714285714285715
Edmonton,2012-10,27.0,0.06688779502709324,0.061810606060606,0.14814814814814814,0.5555555555555556,0.2962962962962963,16.0,0.02617745605627182,0.04425410763478945,0.1875,0.5,0.3125
Edmonton,2012-11,28.0,0.11176665335797377,0.10640172735760965,0.10714285714285714,0.7857142857142857,0.10714285714285714,15.0,0.1436323393567764,0.1129251700680272,0.06666666666666667,0.8666666666666667,0.06666666666666667
Edmonton,2012-12,33.0,0.05105623481013849,0.0548092031425364,0.12121212121212122,0.6060606060606061,0.2727272727272727,17.0,0.053892477622379795,0.0409606266749123,0.0,0.47058823529411764,0.5294117647058824
Edmonton,2013-01,22.0,0.10580015413294429,0.11051863682912069,0.18181818181818182,0.8181818181818182,0.0,10.0,0.12053810828536167,0.12582606195887439,0.2,0.8,0.0
Edmonton,2013-02,27.0,0.08759347211135735,0.1024721149721149,0.0,0.6666666666666666,0.3333333333333333,21.0,0.07332245377597185,0.0768583042973286,0.0,0.6190476190476191,0.38095238095238093
Edmonton,2013-03,37.0,0.06740375298350502,0.0806351295098009,0.02702702702702703,0.6756756756756757,0.2972972972972973,19.0,0.07881106780149423,0.0876808498519024,0.0,0.631578947368421,0.3684210526315789
Edmonton,2013-04,35.0,0.10516141374496836,0.0745977011494252,0.02857142857142857,0.7428571428571429,0.22857142857142856,25.0,0.07168360572952956,0.0607646216630591,0.04,0.68,0.28
Edmonton,2013-05,20.0,0.04180582185324038,0.03374884044526895,0.2,0.4,0.4,16.0,0.04281890106883249,0.0426870748299319,0.25,0.4375,0.3125
Edmonton,2013-06,28.0,0.11626276305519272,0.0808195592286501,0.10714285714285714,0.6071428571428571,0.2857142857142857,17.0,0.1294689432333461,0.077807486631016,0.058823529411764705,0.5882352941176471,0.35294117647058826
Edmonton,2013-07,33.0,0.07537631701700673,0.0707902211247281,0.12121212121212122,0.5757575757575758,0.30303030303030304,23.0,0.0607800363162488,0.0707902211247281,0.13043478260869565,0.5652173913043478,0.30434782608695654
Edmonton,2013-08,36.0,0.07142032208152199,0.082676013727601,0.1111111111111111,0.5833333333333334,0.3055555555555556,26.0,0.05182109963506008,0.0692408781694496,0.11538461538461539,0.5384615384615384,0.34615384615384615
