Date,City,Temperature_C_max,Temperature_C_min,Dew_Point_C_mean,Relative_Humidity_Pct_mean,Rain_mm_sum,Snow_cm_sum,Snow_On_Ground_cm_mean,Wind_Speed_kmh_mean,Max_Gust_Speed_kmh_max,Station_Pressure_kPa_mean,Visibility_km_mean,Cooling_Degree_Days_sum,Heating_Degree_Days_sum,Humidex_mean,Wind_Chill_mean
2024-05-31,Regina,17.787096774193547,3.6548387096774193,2.4088709677419353,59.98924731182796,0.0,0.0,,18.399193548387096,82.0,94.15548387096774,,0.5,226.3,25.5,-2.722222222222222
2024-06-30,Regina,20.67,6.8,6.4037500000000005,63.225,0.0,0.0,,19.09027777777778,87.0,94.28647222222223,,0.6,128.8,25.7375,-4.0
2024-07-31,Regina,28.203225806451613,12.600000000000001,12.7372311827957,64.18413978494624,0.0,0.0,,12.533602150537636,60.0,94.54690860215054,,80.3,5.9,28.579076592758316,
2024-08-31,Regina,27.041935483870965,11.048387096774194,9.37768817204301,57.97715053763441,0.0,0.0,,16.77016129032258,60.0,94.90899193548387,,61.6,29.1,27.675271950271952,
2024-09-30,Regina,25.116666666666667,7.6033333333333335,6.1691666666666665,57.25138888888889,0.0,0.0,,18.54861111111111,76.0,94.3635,,32.1,81.0,27.398214285714285,
2024-10-31,Regina,15.16451612903226,-1.5516129032258066,-1.534543010752688,60.26075268817204,0.0,0.0,0.0,17.799731182795696,96.0,94.6537634408602,,0.0,347.4,,-5.859009663176329
2024-11-30,Regina,-0.03333333333333333,-9.346666666666666,-8.370555555555557,76.8,0.0,0.0,4.333333333333333,16.905555555555555,74.0,94.54472222222222,,0.0,680.6,,-12.798832217860447
2024-12-31,Regina,-6.729032258064516,-16.58709677419355,-13.816935483870967,79.57795698924731,0.0,0.0,8.387096774193548,18.565860215053764,73.0,94.71068548387096,,0.0,919.5,,-18.589455191875633
2025-01-31,Regina,-8.929032258064517,-19.958064516129035,-17.406182795698925,74.63978494623656,0.0,0.0,9.451612903225806,21.75537634408602,85.0,95.07059139784947,,0.0,1005.8,,-22.663243332948802
2025-02-28,Regina,-13.810714285714285,-24.889285714285712,-22.766815476190477,71.90029761904762,0.0,0.0,17.96,16.916666666666668,62.0,95.13657738095239,,0.0,1045.9,,-28.058773922855323
2025-03-31,Regina,-0.3677419354838709,-10.338709677419354,-8.236290322580645,78.98790322580645,0.0,0.0,15.666666666666666,15.672043010752688,70.0,94.30142473118279,,0.0,724.0,,-11.23658122945723
2025-04-30,Regina,11.465384615384616,-2.5653846153846156,-3.303647561588738,61.62423866982691,0.0,0.0,,18.153286647992534,62.0,94.67879075630252,,0.0,352.4,,-6.8918365724029345
2025-05-31,Regina,20.70344827586207,5.310344827586207,2.7005376344086023,54.864013557737266,0.0,0.0,,20.35174146797569,67.0,94.69764551192146,,13.8,158.6,26.264484126984126,-4.5
2025-06-30,Regina,23.175862068965518,8.444827586206896,7.782934782608695,62.19710144927536,0.0,0.0,,17.52548309178744,93.0,94.48754891304347,,11.4,74.9,26.637231144923454,
2025-07-31,Regina,24.85483870967742,11.251612903225807,12.01290322580645,70.37096774193549,0.0,0.0,,13.116935483870968,54.0,94.80551075268816,,35.8,34.1,28.306979784920962,
2025-08-31,Regina,26.799999999999997,11.258064516129032,12.079727676484337,68.33759934548854,0.0,0.0,,15.684081346423563,60.0,94.82317204301076,,65.4,33.4,28.485697635697633,
2025-09-30,Regina,24.009999999999998,7.87,7.7820833333333335,63.801388888888894,0.0,0.0,,15.716666666666667,84.0,94.71609722222223,,23.3,85.3,27.926656676656673,-4.0
2025-10-31,Regina,16.04705882352941,1.8705882352941174,2.4325980392156863,69.0563725490196,0.0,0.0,0.0,17.1421568627451,63.0,94.5745343137255,,0.0,153.7,26.0,-6.575
2025-11-30,Regina,,,,,0.0,0.0,,,,,,0.0,0.0,,
2025-12-31,Regina,,,,,0.0,0.0,,,,,,0.0,0.0,,
2010-01-31,Saskatoon,-7.890322580645161,-17.80322580645161,-14.32016129032258,84.68384759233287,0.0,0.0,,14.531615240766714,63.0,95.63753389434315,,0.0,957.0,,-19.21115932921683
